structure_name,cell_density
MY-mot,5326.683919483359
MY-sat,460.49725724869984
MY-sen,6984.343023399167
P-sat,63.74134709566964
P-sen,1030.7384289247439
P-mot,325.6672399602978
ME,69.26406926406926
PVR,369.14837004102793
PVZ,312.93622840629075
LZ,414.9589261436532
MEZ,503.30910903253476
DORpm,98.33429998880715
DORsm,71.59835011419663
PRT,155.30547830401483
IV,103.8961038961039
MRN,125.2661128522803
RN,322.5093881157499
AT,76.37231503579953
RR,465.6789690540896
SCm,293.67131725733424
III,40.4040404040404
SNr,86.29088378566459
MA3,113.81149970361588
MT,332.41674304919036
Pa4,0.0
PN,75.96439169139465
CUN,87.93913168310739
LT,0.0
VTA,451.29035054764034
DT,0.0
VTN,244.5293504689128
PAG,150.03755400712413
EW,47.05882352941176
SAG,245.18309859154928
SCs,517.0804929253522
IC,345.0624290578887
MEV,0.0
NB,46.81784930504755
SCO,348.3670295489891
PBG,98.46153846153847
PPN,28.68708940902915
RAmb,133.78963872077145
SNc,102.36587804065312
SIM,455.50831339864584
AN,1727.9117546225975
PRM,1401.1849178012321
COPY,1491.1763255240444
PFL,560.0245624808106
FL,836.6233117216166
LING,555.3356675293043
CENT,219.20101564625375
CUL,520.1635266254659
DEC,911.4258651452739
FOTU,3884.6726444148967
PYR,6014.007508727249
UVU,999.4441031042452
NOD,3010.1779342385707
LSX,404.326555459047
sAMY,1032.1290596014976
STRd,309.1143524997439
STRv,2083.602908710814
PALc,76.57623617723368
PALd,32.711554188247206
PALm,242.4242424242424
PALv,784.5406937885142
HPF,1901.1230596824607
Isocortex,2972.8115994458535
OLF,2156.1305576589584
LA,1047.241539828751
BLA,2453.587755913337
BMA,1378.8859610375766
CLA,3050.9534229446704
PA,2956.428443702688
EP,2235.9671696414184
VeCB,22884.03361344538
DN,21467.416473701618
IP,8645.440857845837
FN,443.3361041839845
