structure_name,cell_density
GRN,1738.225946258307
ISN,55887.32394366198
PPY,1673.6018324107654
AMBv,12152.67175572519
AMBd,38108.26210826211
IRN,12406.85945857358
PRP,1025.8344333396192
NR,927.536231884058
LIN,21040.494166094715
LRNm,4217.003784949738
LRNp,1965.1081646894627
MARN,1393.619330102004
ICB,5510.907003444317
MDRNd,14702.916611175586
MDRNv,2195.9991731930827
ACVII,201.2578616352201
VI,1671.8017414601472
VII,13150.580680962385
MV,6364.478728157851
LAV,26347.01006918282
SUV,7215.93625498008
SPIV,46385.17132896862
x,41784.746970776905
XII,853.8887081028312
y,20055.06072874494
IO,2809.962413778861
DMX,870.3535811423391
PARN,31666.98472431536
PAS,24006.425702811244
PGRNd,1606.177606177606
PGRNl,7047.5760992108235
RM,1753.1636147089475
RO,1613.4453781512607
RPA,1885.1251840942562
AP,158.41584158415841
SPVC,13237.350773848188
SPVI,16584.386121474727
SPVO,51232.52242173724
Pa5,19571.971754481263
VCO,8118.235773303852
DCO,21633.932687874596
NTB,3696.969696969697
NTS,16765.74307304786
GR,7654.381254576519
CU,23210.782201981663
ECU,27491.32267869399
PRNr,4061.844151123735
LC,448.8078541374474
LDT,609.9110546378653
RPO,1139.8575178102737
SLC,477.96863330843917
SLD,217.7796682262867
NI,311.0280373831776
CS,2127.182444337658
SOCm,2170.2163200534533
SOCl,1915.9235668789809
POR,2689.075630252101
NLL,6779.733071719092
PSV,2711.4118846759993
KF,4087.660414610069
PRNc,2818.6664089391793
B,331.17723156532986
SG,0.0
SUT,3847.8475838881927
P5,4583.306268268919
Acs5,3275.9051186017477
PC5,3180.028804608737
I5,7257.999189955448
TRN,2791.082426198214
PDTg,525.0431778929188
V,3228.20295772544
DTN,490.3756307232293
PCG,359.13907040277627
PG,2110.593954027736
ME,1369.8120230783547
PS,529.6664120193532
PVp,919.5610363163254
PVpo,329.9289952339266
AVP,201.62016201620162
AVPV,402.8958136606862
SCH,638.6632629380366
SFO,390.2439024390244
SBPV,883.2909017821252
MEPO,266.7460553736231
MPO,184.2952208106473
VMPO,37.68030615248749
VLPO,486.6391483814904
ADP,182.4228028503563
OV,418.30065359477123
DMH,1073.5206216377765
PD,71.91011235955057
PVi,810.7537476247448
ARH,2709.378379770304
PVa,283.68794326241135
ASO,480.0
PVH,702.3125644424805
SO,1919.4001874414246
RCH,577.8781038374717
LHA,1285.7341867745931
LPO,347.6133388789666
PST,801.0012515644555
PSTN,683.5235052487449
STN,2246.3646999832863
PeF,1128.270220717862
TU,1220.3774012580043
FF,5138.95425586868
PMv,1839.5598030697945
VMHDM,1782.263339874778
VMHC,1742.7278603749194
VMHVL,1833.2352364135766
LM,758.237689744539
MM,1226.5990740501256
SUM,1391.0142812467425
TM,522.8133094241881
MPN,126.02274656255305
PVHd,826.5294954580278
VMH,1291.3171616413513
AHN,709.3465674110836
PH,873.224083427201
PMd,741.622298778578
LGv,11198.467139298717
IGL,10809.46006247211
SubG,4574.042309891366
IntG,17488.372093023256
PO,2526.044067484097
POL,9859.741563166479
LP,5393.230019075138
SGN,7985.973115137346
Eth,5171.502791134693
IAD,6288.093255620316
IAM,2380.6571605703657
AM,6466.204680124535
LD,3121.5658941743627
AV,6609.2012304364
AD,6146.149233273366
RT,3909.6825895322772
PR,688.485732518917
MD,869.3420899164715
SMT,646.8040425252658
IMD,207.94073688998637
RH,705.8823529411765
PIL,3410.7640195709446
CL,1210.4774819784457
CM,1044.176706827309
PCN,1910.8766415983835
PF,1328.0366406505586
PVT,341.2382619767627
PT,2531.3566433566434
RE,476.9455191222173
Xi,671.9160104986877
LH,2722.2546918631083
MH,1779.29574097476
LGd,5011.622974463392
MG,8868.829776868362
PP,1863.5375923511515
SPFm,896.6540299983517
SPFp,12979.631614852355
SPA,490.4214559386973
PoT,11465.838509316769
VAL,5888.0992376276
VM,2029.6196037079587
VP,4979.410706875086
PPT,10159.08930212826
APN,17748.204383908305
MPT,1984.7864248098304
RPF,3927.760907783283
NOT,1866.794646189943
NPC,3859.783616692426
OP,5220.51108478592
IV,5049.040511727079
MRN,11772.101705078483
RN,13062.545431560318
AT,1058.4343991179712
RR,10372.566459136278
SCig,10160.439483396682
SCiw,16802.0393454359
SCdg,11895.7888442812
SCdw,7760.135772204412
III,3035.4722997210047
SNr,3682.9465276236965
MA3,351.16598079561044
MT,19130.326594090202
Pa4,2574.712643678161
PN,4056.06337599025
CUN,5681.829278216292
LT,1982.9589465530598
VTA,13201.96923829618
DT,1552.3704520396911
VTN,4773.078672123693
PRC,871.1933713547833
ND,2872.308919011277
Su3,2810.3394581127377
INC,12796.557751781633
EW,565.8709106984969
SAG,11789.04039104708
SCzo,1521.0383398520216
SCsg,1447.337874942963
SCop,3640.3244495944377
ICc,12890.530346624259
ICd,10089.391847767683
ICe,10107.862584745104
MEV,262.83367556468176
NB,2103.1613976705494
SCO,39.19167176974893
PBG,3877.6896942242356
PPN,7382.935153583618
IPR,1940.700808625337
IPC,491.4675767918089
IPA,432.91995490417133
IPL,2732.51788599123
IPI,675.7589089309282
IPDM,1556.3743551952837
IPDL,1998.5130111524163
IPRL,12038.303693570451
IF,2644.7888179884535
RL,3591.182364729459
CLI,1461.9289340101523
DR,1808.5933396365165
SNc,9221.735197940583
VeCB,10596.984924623115
DN,3595.6141233276326
IP,7778.741006402782
FN,3484.8334162108404
SIM,4065.0554919990423
ANcr1,3618.1690225805805
ANcr2,6069.888016186368
PRM,5523.205416264475
COPY,8773.509933774834
PFL,3104.0938940897026
FL,1537.0552916928038
LING,576.0470242468773
CENT2,1458.9456479662792
CENT3,2987.7020357217534
"CUL4, 5",4505.622197754555
DEC,8943.257184966838
FOTU,13513.757753836107
PYR,23692.729248358293
UVU,7438.230503725833
NOD,3146.2017145592486
LSc,613.432941010642
LSr,1031.5349336135466
LSv,1723.860241589817
SF,1408.610843090724
SH,97.88427224063217
IA,1813.7269372693727
MeAV,5226.081657525899
MeA,1500.3199348496307
MeAPD,1139.4000115604708
MeAPV,1657.2379367720466
AAA,1249.9263267875801
BA,3453.6256323777407
MeAD,2730.9072270630445
CEAc,1007.6225045372051
CEAl,1119.769784172662
CEAm,1200.024351143489
CP,4629.259337262427
ACB,2819.2058397835253
OT,3235.7366607950157
FS,1819.6237239517422
BAC,196.6205837173579
BST,1308.35521562131
GPe,2634.9194426709732
GPi,3740.470523974874
TRS,1127.2279838284408
MS,376.5293903264435
NDB,760.4776398969796
MA,788.9167666630304
SI,2302.2086157883227
IG,892.2180607573866
CA,1330.2083897869568
DG,861.3495165843949
FC,354.71100554235943
POST,3487.012399312155
PRE,526.096693452773
ProS,1600.2979278057085
APr,527.2825499729876
SUB,2265.8092768399692
HATA,914.1748043913387
PAR,396.3753585298373
ENT,5026.094049469137
GU4,3446.2877345662223
GU2/3,4636.696682302188
GU5,2698.7112841219564
GU1,2169.491525423729
GU6a,4490.331412925675
GU6b,6448.0600750938665
FRP5,1560.5233933658444
FRP6a,942.5092041914471
FRP6b,1641.025641025641
FRP2/3,1761.7028086740818
FRP1,1936.5924123774043
VISa,4981.276479431462
VISrl,2340.910379230202
AUDp,4161.650242697605
AUDd,3780.8600608837496
AUDv,3574.9021114062884
AUDpo,3704.7687154202263
RSPd,8525.01017472458
RSPv,3684.2360257748533
RSPagl,11144.997761305409
ACAd,3737.0963075074005
ACAv,1740.7889862208256
ILA6a,2787.738478027867
ILA6b,4319.018404907975
ILA2/3,1324.7089262613197
