structure_name,cell_density
GRN,75.59858542524205
ISN,0.0
PPY,359.91162884113277
AMBv,379.0186125211506
AMBd,559.4405594405595
IRN,176.8838866504612
PRP,145.64073389276064
NR,36.7816091954023
LIN,512.7596439169139
LRNm,665.6930146404018
LRNp,2411.0260336906586
MARN,95.29689486108589
ICB,384.3164959378312
MDRNd,300.50612842246477
MDRNv,104.50368345105187
ACVII,0.0
VI,40.0
VII,292.8052143394334
MV,157.1752638327251
LAV,138.88888888888889
SUV,298.75896618467493
SPIV,170.05241672504167
x,84.90878938640132
XII,113.31583124732889
y,233.78995433789956
IO,583.4294945765058
DMX,53.68126747437092
PARN,379.1767432908511
PAS,252.96442687747037
PGRNd,14.13427561837456
PGRNl,895.8377350517643
RM,215.83427011401957
RO,227.64227642276424
RPA,882.7586206896552
AP,668.4073107049609
SPVC,537.261698440208
SPVI,967.520271198864
SPVO,334.4629077695668
Pa5,143.0274135876043
VCO,630.1113905856989
DCO,450.7728622553872
NTB,535.6622998544397
NTS,104.6810499260067
GR,34.206306787814
CU,77.9501984843017
ECU,57.70097670924117
PRNr,182.18089187613174
LC,0.0
LDT,82.68733850129199
RPO,12.405504942818377
SLC,133.89121338912133
SLD,74.30340557275541
NI,22.053756030323914
CS,26.68731756716507
SOCm,833.3495287144107
SOCl,616.7421339835133
POR,797.5683890577508
NLL,1460.7201718024273
PSV,579.6008172245796
KF,275.0059680114586
PRNc,123.0271679495747
B,72.56235827664399
SG,0.0
SUT,631.4540059347181
P5,539.1379204328844
Acs5,90.3954802259887
PC5,452.56334708308776
I5,522.8255646323883
TRN,295.8243020917661
PDTg,0.0
V,426.71614100185525
DTN,96.61187520966119
PCG,225.72007053752205
PG,561.8454377438566
ME,83.16317059587898
PS,1087.9249706916764
PVp,148.96918643316337
PVpo,13.014743263853584
AVP,1388.0480574192543
AVPV,443.948333599107
SCH,13.757523645743765
SFO,0.0
SBPV,25.098039215686274
MEPO,347.70010865628393
MPO,409.1037966853107
VMPO,0.0
VLPO,1035.641130684146
ADP,478.10165519261756
OV,231.88405797101447
DMH,359.15492957746477
PD,0.0
PVi,30.969169086133004
ARH,802.1194212349704
PVa,73.71148862654766
ASO,148.49187935034803
PVH,98.98365002209457
SO,250.75346594333936
RCH,123.94693521835964
LHA,676.3391283504645
LPO,644.0958715020705
PST,695.6521739130435
PSTN,1650.5630221576462
STN,1088.2894957279275
PeF,523.6051502145923
TU,1986.6845667004575
FF,183.5125448028674
PMv,2421.3989414962093
VMHDM,231.32530120481928
VMHC,818.8175460902734
VMHVL,1547.2391451503725
LM,638.1435823060189
MM,373.8688225322728
SUM,493.4113401498168
TM,1308.573686290004
MPN,48.22216640952962
PVHd,46.453753629199504
VMH,318.33910034602076
AHN,96.07878460337476
PH,128.91914576144734
PMd,1857.4674653997108
LGv,1579.229696384508
IGL,2327.9742765273313
SubG,1201.173020527859
IntG,1878.8257339163024
PO,157.65185215981373
POL,76.27623650930279
LP,142.48560470364413
SGN,41.612483745123534
Eth,139.32731032981388
IAD,7.339449541284402
IAM,0.0
AM,8.413027046567418
LD,157.8017457345534
AV,100.03058000067955
AD,148.8243906640255
RT,287.87075190730695
PR,21.94599228461209
MD,14.344703924966163
SMT,18.0703452726686
IMD,0.0
RH,8.463369478973815
PIL,46.17604617604618
CL,65.05607698302443
CM,0.0
PCN,16.425418334873218
PF,29.133579485104445
PVT,111.49825783972125
PT,169.03138627848415
RE,23.813953488372093
Xi,56.77953570900488
LH,4.372928837415873
MH,188.97402354700057
LGd,831.8051524916765
MG,247.35830017325742
PP,86.40864086408641
SPFm,0.0
SPFp,188.0575086577815
SPA,5.793428080021725
PoT,422.0547401824673
VAL,174.30056944788313
VM,97.49162181375038
VP,494.8212512663364
PPT,772.8214832837705
APN,148.3885926269418
MPT,718.5244587008821
RPF,27.164685908319186
NOT,238.34647135497485
NPC,300.0481969942602
OP,607.4201898188093
IV,0.0
MRN,53.67568176295216
RN,37.78858076325061
AT,77.17041800643086
RR,30.27794204612655
SCig,207.6897634158975
SCiw,74.271309483131
SCdg,45.68165596002856
SCdw,34.25842048917071
III,31.403336604514237
SNr,118.15265419768778
MA3,0.0
MT,253.23741007194246
Pa4,126.48221343873517
PN,0.0
CUN,1154.8040301450528
LT,766.1612130885875
VTA,81.91708739244827
DT,311.43552311435525
VTN,290.9090909090909
PRC,62.85072951739618
ND,0.0
Su3,0.0
INC,0.0
EW,0.0
SAG,183.5856573705179
SCzo,300.4783558731471
SCsg,205.1516189171708
SCop,190.75495270390863
ICc,1932.9721051575357
ICd,1570.9438144769374
ICe,2202.578891877111
MEV,0.0
NB,72.1533258173619
SCO,220.49956933677862
PBG,132.9639889196676
PPN,254.51099176778845
IPR,62.80667320902846
IPC,62.1208444552293
IPA,85.96373404969778
IPL,16.971625563511004
IPI,32.0962888665998
IPDM,58.023572076155936
IPDL,0.0
IPRL,50.31446540880503
IF,11.862835959221503
RL,0.0
CLI,0.0
DR,0.0
SNc,166.90374585111428
VeCB,504.82033304119193
DN,280.1990049751244
IP,432.78293693985785
FN,310.2786788043668
SIM,3667.6157254643163
ANcr1,4447.397563676634
ANcr2,4584.624833657488
PRM,3827.549510732733
COPY,1411.5336681898864
PFL,6963.295772883085
FL,2343.4791758336364
LING,783.5990888382688
CENT2,370.8443164531974
CENT3,392.36529545801386
"CUL4, 5",1582.5776612403947
DEC,3112.927396511013
FOTU,1455.0509731232623
PYR,775.3910272719563
UVU,416.64467317673973
NOD,109.68234908852746
LSc,83.69970504758194
LSr,43.88980137832941
LSv,38.49527580762386
SF,71.38170843721296
SH,0.0
IA,2216.107590044829
MeAV,500.9030704394943
MeA,725.0621718706825
MeAPD,399.39174911625884
MeAPV,1047.265568929809
AAA,869.013604550578
BA,826.0381593714927
