structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0,0,0,0.014453125,0.014609375,0.0290625,0,0
Accessory facial motor nucleus,0,0,0,0.002609375,0.003,0.005609375,0,0
"Accessory olfactory bulb, glomerular layer",14,0,14,0.12628125,0.09075,0.21703125,110.8636476,0
"Accessory olfactory bulb, granular layer",2,0,2,0.17625,0.127953125,0.304203125,11.34751773,0
"Accessory olfactory bulb, mitral layer",2,0,2,0.223890625,0.158515625,0.38240625,8.932933212,0
Accessory supraoptic group,0,0,0,0.004046875,0.003921875,0.00796875,0,0
Accessory trigeminal nucleus,0,1,1,0.00609375,0.006734375,0.012828125,0,148.4918794
"Agranular insular area, dorsal part, layer 1",22,7,29,0.357640625,0.2939375,0.651578125,61.51426449,23.81458643
"Agranular insular area, dorsal part, layer 2/3",150,566,716,0.73159375,0.60590625,1.3375,205.0318226,934.1379132
"Agranular insular area, dorsal part, layer 5",169,534,703,1.20875,1.024828125,2.233578125,139.8138573,521.0629831
"Agranular insular area, dorsal part, layer 6a",181,249,430,0.624109375,0.579828125,1.2039375,290.0132689,429.4376027
"Agranular insular area, dorsal part, layer 6b",4,1,5,0.040296875,0.03765625,0.077953125,99.26328034,26.5560166
"Agranular insular area, posterior part, layer 1",93,195,288,0.41259375,0.362015625,0.774609375,225.4033174,538.6507834
"Agranular insular area, posterior part, layer 2/3",1489,3556,5045,0.776640625,0.64540625,1.422046875,1917.231667,5509.708033
"Agranular insular area, posterior part, layer 5",1128,2685,3813,0.6985,0.555390625,1.253890625,1614.889048,4834.435223
"Agranular insular area, posterior part, layer 6a",357,616,973,0.3926875,0.30703125,0.69971875,909.1198472,2006.310433
"Agranular insular area, posterior part, layer 6b",6,8,14,0.0188125,0.012484375,0.031296875,318.9368771,640.8010013
"Agranular insular area, ventral part, layer 1",13,12,25,0.191609375,0.163640625,0.35525,67.84636712,73.33142366
"Agranular insular area, ventral part, layer 2/3",107,205,312,0.4625625,0.392765625,0.855328125,231.3200919,521.9397701
"Agranular insular area, ventral part, layer 5",285,227,512,0.55709375,0.48996875,1.0470625,511.583553,463.294853
