structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0,0,0,0.010484375,0.010703125,0.0211875,0,0
Accessory facial motor nucleus,0,0,0,0.002015625,0.002046875,0.0040625,0,0
"Accessory olfactory bulb, glomerular layer",75,27,102,0.09484375,0.094515625,0.189359375,790.7742998,285.6670524
"Accessory olfactory bulb, granular layer",413,85,498,0.117109375,0.116875,0.233984375,3526.617745,727.2727273
"Accessory olfactory bulb, mitral layer",257,98,355,0.163734375,0.1613125,0.325046875,1569.615421,607.5164665
Accessory supraoptic group,0,3,3,0.003515625,0.003921875,0.0074375,0,764.940239
Accessory trigeminal nucleus,2,1,3,0.00496875,0.00521875,0.0101875,402.5157233,191.6167665
"Agranular insular area, dorsal part, layer 1",88,70,158,0.197671875,0.19471875,0.392390625,445.182199,359.4928583
"Agranular insular area, dorsal part, layer 2/3",148,177,325,0.4045,0.3846875,0.7891875,365.8838072,460.1137287
"Agranular insular area, dorsal part, layer 5",281,476,757,0.717875,0.668453125,1.386328125,391.4330489,712.0918165
"Agranular insular area, dorsal part, layer 6a",133,240,373,0.418703125,0.382859375,0.8015625,317.6474979,626.8620169
"Agranular insular area, dorsal part, layer 6b",2,2,4,0.02640625,0.025890625,0.052296875,75.73964497,77.24803862
"Agranular insular area, posterior part, layer 1",102,216,318,0.20240625,0.213765625,0.416171875,503.9370079,1010.452452
"Agranular insular area, posterior part, layer 2/3",808,857,1665,0.3824375,0.392484375,0.774921875,2112.763523,2183.526414
"Agranular insular area, posterior part, layer 5",865,993,1858,0.3620625,0.36234375,0.72440625,2389.090281,2740.491591
"Agranular insular area, posterior part, layer 6a",509,561,1070,0.21659375,0.211703125,0.428296875,2350.021642,2649.937265
"Agranular insular area, posterior part, layer 6b",3,7,10,0.011375,0.01065625,0.02203125,263.7362637,656.8914956
"Agranular insular area, ventral part, layer 1",50,111,161,0.107203125,0.10584375,0.213046875,466.4043142,1048.715678
