structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,4,0,4,0.01409375,0.01484375,0.0289375,283.8137472,0
Accessory facial motor nucleus,1,0,1,0.002421875,0.00265625,0.005078125,412.9032258,0
"Accessory olfactory bulb, glomerular layer",1316,657,1973,0.160890625,0.159234375,0.320125,8179.469748,4125.993524
"Accessory olfactory bulb, granular layer",3002,1632,4634,0.1956875,0.221,0.4166875,15340.78569,7384.615385
"Accessory olfactory bulb, mitral layer",3582,1690,5272,0.28059375,0.289703125,0.570296875,12765.78684,5833.558061
Accessory supraoptic group,38,31,69,0.0034375,0.003421875,0.006859375,11054.54545,9059.360731
Accessory trigeminal nucleus,0,3,3,0.00615625,0.006890625,0.013046875,0,435.3741497
"Agranular insular area, dorsal part, layer 1",2781,2155,4936,0.24565625,0.296140625,0.541796875,11320.69711,7276.94824
"Agranular insular area, dorsal part, layer 2/3",19394,12052,31446,0.50971875,0.580671875,1.090390625,38048.43357,20755.26734
"Agranular insular area, dorsal part, layer 5",38264,19516,57780,0.884,0.93034375,1.81434375,43285.06787,20977.19257
"Agranular insular area, dorsal part, layer 6a",10336,3962,14298,0.55534375,0.50253125,1.057875,18611.89579,7884.086811
"Agranular insular area, dorsal part, layer 6b",307,22,329,0.03515625,0.0334375,0.06859375,8732.444444,657.9439252
"Agranular insular area, posterior part, layer 1",2558,2539,5097,0.344296875,0.616609375,0.96090625,7429.634672,4117.679852
"Agranular insular area, posterior part, layer 2/3",28171,24410,52581,0.614328125,0.83846875,1.452796875,45856.60147,29112.59364
"Agranular insular area, posterior part, layer 5",17269,10036,27305,0.541703125,0.6076875,1.149390625,31879.08506,16515.06737
"Agranular insular area, posterior part, layer 6a",4375,1030,5405,0.30296875,0.30475,0.60771875,14440.43321,3379.819524
"Agranular insular area, posterior part, layer 6b",30,25,55,0.013390625,0.012421875,0.0258125,2240.373396,2012.578616
"Agranular insular area, ventral part, layer 1",1120,540,1660,0.121859375,0.168484375,0.29034375,9190.921913,3205.044978
"Agranular insular area, ventral part, layer 2/3",9144,5093,14237,0.302046875,0.38221875,0.684265625,30273.4468,13324.83035
"Agranular insular area, ventral part, layer 5",11599,5875,17474,0.39578125,0.4649375,0.86071875,29306.59297,12636.107
"Agranular insular area, ventral part, layer 6a",2898,993,3891,0.1033125,0.1086875,0.212,28050.8167,9136.285221
"Agranular insular area, ventral part, layer 6b",6,1,7,0.002359375,0.002140625,0.0045,2543.046358,467.1532847
alveus,5015,2203,7218,0.886359375,0.85021875,1.736578125,5657.97592,2591.097879
amygdalar capsule,423,336,759,0.10765625,0.101671875,0.209328125,3929.172714,3304.748732
Anterior amygdalar area,785,57,842,0.30475,0.30265625,0.60740625,2575.88187,188.3324729
"Anterior area, layer 1",1282,61,1343,0.130765625,0.14225,0.273015625,9803.799737,428.8224956
"Anterior area, layer 2/3",12646,4048,16694,0.23265625,0.259046875,0.491703125,54354.86904,15626.51547
"Anterior area, layer 4",5736,1957,7693,0.08403125,0.09240625,0.1764375,68260.31982,21178.22117
"Anterior area, layer 5",8480,2010,10490,0.197890625,0.219734375,0.417625,42851.9542,9147.408092
"Anterior area, layer 6a",4563,1161,5724,0.12628125,0.138171875,0.264453125,36133.63029,8402.578311
"Anterior area, layer 6b",684,153,837,0.022953125,0.02490625,0.047859375,29799.86385,6143.036386
"Anterior cingulate area, dorsal part, layer 1",983,94,1077,0.203953125,0.264125,0.468078125,4819.734927,355.8920965
"Anterior cingulate area, dorsal part, layer 2/3",4368,492,4860,0.24365625,0.24909375,0.49275,17926.89496,1975.159955
"Anterior cingulate area, dorsal part, layer 5",7452,2386,9838,0.5025625,0.553109375,1.055671875,14828.00647,4313.794175
"Anterior cingulate area, dorsal part, layer 6a",2931,863,3794,0.35475,0.41403125,0.76878125,8262.156448,2084.383727
"Anterior cingulate area, dorsal part, layer 6b",27,16,43,0.01440625,0.016046875,0.030453125,1874.186551,997.0788705
"Anterior cingulate area, ventral part, 6a",419,532,951,0.212375,0.23934375,0.45171875,1972.92525,2222.744484
"Anterior cingulate area, ventral part, 6b",46,76,122,0.036875,0.041296875,0.078171875,1247.457627,1840.332955
"Anterior cingulate area, ventral part, layer 1",313,189,502,0.230703125,0.309515625,0.54021875,1356.721978,610.6315311
"Anterior cingulate area, ventral part, layer 2/3",717,363,1080,0.29728125,0.292015625,0.589296875,2411.857458,1243.084167
"Anterior cingulate area, ventral part, layer 5",724,1240,1964,0.575265625,0.62440625,1.199671875,1258.54904,1985.886592
"anterior commissure, olfactory limb",3403,1684,5087,0.449984375,0.564796875,1.01478125,7562.484809,2981.602899
"anterior commissure, temporal limb",26,12,38,0.15340625,0.13884375,0.29225,169.4846201,86.42808913
Anterior hypothalamic nucleus,4706,2127,6833,0.40565625,0.403265625,0.808921875,11600.95524,5274.439149
Anterior olfactory nucleus,39960,38732,78692,2.686546875,3.824890625,6.5114375,14874.11233,10126.30263
Anterior pretectal nucleus,326,65,391,0.8979375,0.92425,1.8221875,363.0542215,70.3272924
Anterior tegmental nucleus,3,0,3,0.021109375,0.0214375,0.042546875,142.1169504,0
Anterodorsal nucleus,79,69,148,0.123453125,0.119609375,0.2430625,639.9189976,576.8778576
